Ward no,Burough,PIN Code,Neighbourhood,Latitude,Longitude
102,11,"700 032, 700 092","Jadavpur (KPC Medical College and Hospital-Ramakrishna Pally-Central Park-Kamarpara), Baghajatin (Chittaranjan Colony-Kajipara-West Rajapur)",22.486833,88.376694
103,12,700 075,Santoshpur (Santoshpur Lake-Bidhan Colony-Modern Park-East Rajapur-Rani Rashmoni Bagan-Adipally),22.491833,88.383694
104,12,"700 075, 700 099","Garfa (Bhattacharjee Para-Sen Para), Haltu (Sholak Pally-Patwari Para-Kalikapur), Santoshpur (Naskar Para-Bagan Bari-Mondal Para-Eastern Park-New Santoshpur)",22.498833,88.383694
105,12,700 078,"Haltu (Baidya Para-Jadavgarh-Ashutosh Colony-Sarat Bose Colony-Nazir Bagan-Sucheta Nagar-Neli Nagar), Garfa (Manasatala)",22.506833,88.387694
106,12,700 078,Haltu (Nandi Bagan-Kayasthapara-Ramlal Bazar-Shanti Pally-Purbachal-North Purbachal-Unique Park-Safuipara-Sukhpally-Gitanjali Park-Kalitala-Kalikapur),22.508833,88.387694
107,12,700 046,"Tiljala (Panchanna Gram), Kasba (Purbapara-Rajdanga-Prantik Pally-Sarada Pally-Tagore Park-Amarabati-VIP Bazar-Purbasree Pally-Rabindra Pally), Haltu (Sucheta Nagar-Kabardanga-Baishali Pally), East Calcutta Township (Ruby)",22.514833,88.397694
108,12,700 100,"VIP Nagar, jagorani colony (Gouranga Pally-Matongini Colony), Uttar Panchanna Gram (Martin Para-Gulshan Colony), Paschim Chowbaga, Sardarhat, Chowbaga, Bantala, Adarsha Nagar, Nonadanga, Mundapara, East Calcutta Township (Ruby-Anandapur-Nazirabad-Urbana-Hussainpur-Madurdaha)",22.522133,88.409694
109,12,"700 094, 700 099","Haltu (Kalikapur), Santoshpur (Borakhola-Nandan Kanan-Purba Diganta-Survey Park), Ajoy Nagar, Hiland Park, Chak Garia, New Garia, Srinagar, Hatibari, Nayabad, Bikash Guha Colony/ Daspara, Panchasayar (Shahid Smrity Colony-Baghajatin Park), Budher Hat, Mukundapur (Singh Bari-Nitai Nagar-Purbalok-Stadium Nagar-Jamuna Nagar-Ahalya Nagar-Green Park-Chit Kalikapur-Satyajit Kanan-Vivekananda Park)",22.481833,88.400694
110,11,"700 094, 700 084",Garia (Baishnabghata Patuli Township-Kanungo Park-Sreerampur-Pranab Nagar-Briji-Dhalai Bridge),22.473833,88.382694
111,11,"700 084, 700 096, 700 154",Garia–Brahmapur–Kamdahari-Boral,22.462833,88.370694
112,11,700 047,Bansdroni (Rania-Roy Nagar),22.467833,88.365694
113,11,700070,Bansdroni (Jaysree Park-Kalitala),22.472833,88.354694
114,11,700093,"Bansdroni, Paschim Putiary, Kudghat, Haridevpur(partly), Rajpur Sonarpur(partly), Ramkantapur(under Behala Purba (Vidhan Sabha constituency), pincode-7000104)(partly)",22.476833,88.348806
115,13,700 041,Paschim Putiary-Kudghat-Karunamoyee,22.481833,88.341806
116,13,700 034,Tollygunge Circular Road (Sirity-Senhati Colony),22.496833,88.336806
117,13,700 034,Tollygunge Circular Road (Chandubabur Jheel-Buroshibtala),22.501833,88.337806
118,13,"700 038, 700 053",Tollygunge Circular Road (Sahapur)-New Alipore,22.506833,88.331806
119,13,700 038,Behala (James Long Sarani-Sahapur-Railway Colony),22.503833,88.322806
120,13,700 034,Behala (James Long Sarani-Bliss Park-Behala Gardens-Behala Tram Depot),22.496833,88.319806
121,13,700 034,Behala (Jadu Nagar Colony-Jayasree Colony-Mondal Para-Manton-Calcutta Blind School),22.489222,88.327389
122,13,700 082,"Behala (Sukanta Pally-Sodpur-Kazipara), Haridevpur",22.483222,88.328389
123,13,700 008,Barisha,22.481833,88.316694
124,16,"700 008, 700 063","Barisha, Thakurpukur",22.468675,88.316694
125,16,"700 008, 700 061,700 063","Paschim Barisha, Dakshin Behala Road, Thakurpukur",22.473275,88.301694
126,16,"700 008, 700 061, 700 063","Sarsuna, Paschim Barisha",22.473275,88.297694
