Ward no,Burough,PIN Code,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
83,8,700 023,Kalighat,22.521455,88.342611,2,Café,Hotel,Dhaba,Chinese Restaurant,South Indian Restaurant,Fast Food Restaurant,Indian Restaurant,Park,Market,Indian Sweet Shop
84,9,700 029,"Kalighat, Manoharpukur",22.518435,88.349417,2,Café,Chinese Restaurant,Dhaba,Park,Hotel,Plaza,South Indian Restaurant,Indian Sweet Shop,Lounge,Market
85,8,700 029,Ballygunge (Deshapriya Park),22.521141,88.356306,2,Café,Chinese Restaurant,Bengali Restaurant,Dhaba,Plaza,Hotel,Vegetarian / Vegan Restaurant,Shopping Mall,Indian Sweet Shop,Market
86,8,700 029,"Ballygunge (Lake Terrace-Keyatala,Hindustan Park)",22.518917,88.364306,2,Café,Chinese Restaurant,Plaza,Dhaba,Bengali Restaurant,Indian Restaurant,Hotel,Clothing Store,Pizza Place,Vegetarian / Vegan Restaurant
87,8,700 029,Kalighat (Lake Market-Lake Range-Mudiali),22.513917,88.350694,2,Café,Chinese Restaurant,Indian Restaurant,Shopping Mall,Clothing Store,Park,Plaza,Movie Theater,Multiplex,Coffee Shop
88,9,700 026,Kalighat (Sahanagar-Lalpara),22.514917,88.343694,2,Café,Park,Hotel,Pizza Place,Dessert Shop,South Indian Restaurant,Movie Theater,Dhaba,Chinese Restaurant,Coffee Shop
89,10,700 033,Tollygunge (Charu Market-Swiss Park),22.505222,88.347694,2,Café,Park,Shopping Mall,South Indian Restaurant,Movie Theater,Coffee Shop,Clothing Store,Multiplex,Chinese Restaurant,Pizza Place
90,8,700 029,"Ballygunge (Lake Terrace), Rabindra Sarobar, Dhakuria (South End Park-Kankulia)",22.514222,88.366694,2,Café,Chinese Restaurant,Bengali Restaurant,Indian Restaurant,Clothing Store,Pizza Place,Plaza,Shopping Mall,Hotel,Market
91,10,"700 042, 700 068, 700 107","Kasba (Rathtala-Bosepukur), Dhakuria (Kalupara-Kamala Park)",22.516222,88.378694,2,Café,Bengali Restaurant,Chinese Restaurant,Plaza,Boutique,Pizza Place,Shopping Mall,Coffee Shop,Dhaba,Indian Sweet Shop
92,10,"700 031, 70032","Dhakuria (Babu Bagan-Selimpur-Teli Para-Tanu Pukur), Jadavpur University, Garfa (Naskar Para-Shahid Nagar/ Sweet Land-Jheel Road/ Newland-Pal Bazar-Viveknagar-Pratapgarh)",22.499833,88.369694,2,Café,Pizza Place,Chinese Restaurant,Clothing Store,Dumpling Restaurant,Shopping Mall,Bistro,Bookstore,Plaza,Bus Station
93,10,"700 068, 700 045","Dhakuria (Dakshinapan), Jodhpur Park, Lake Gardens, Jadavpur (South City-Bikramgarh-Poddar Nagar)",22.504833,88.363694,2,Café,Chinese Restaurant,Indian Restaurant,Shopping Mall,Market,Department Store,Movie Theater,Multiplex,Coffee Shop,Clothing Store
94,10,700 033,Tollygunge (Royal Calcutta Golf Club-Rajendra Prasad Colony-Madartala Colony-Jubilee Park),22.497833,88.351694,2,Café,Pizza Place,Movie Theater,Clothing Store,Shopping Mall,Dumpling Restaurant,Falafel Restaurant,Pub,Fast Food Restaurant,Bookstore
95,10,"700 095, 700 040","Regent Park (Tilak Nagar-Azadgarh-Aswini Nagar-Arabindo Nagar-Samajgarh), Golf Green",22.492833,88.361694,2,Café,Chinese Restaurant,Dumpling Restaurant,Pizza Place,Clothing Store,Shopping Mall,Fast Food Restaurant,Movie Theater,Mughlai Restaurant,Sandwich Place
96,10,"700 092, 700 032","Jadavpur (Regent Estate-Layelka-Bapujinagar-Narkel Bagan-Ananda Pally-Nabanagar-Shaktigarh-Bijoygarh), Baghajatin",22.489833,88.370694,2,Pizza Place,Café,Chinese Restaurant,Dumpling Restaurant,Clothing Store,Shopping Mall,Fast Food Restaurant,Multiplex,Department Store,Coffee Shop
97,10,700 040,"Ashok Nagar, Kudghat, Tollygunge Club, Regent Park (Shantigarh-Regent Colony-Nehru Colony-Vivekananda Nagar-Moor Avenue-Shanti Nagar-Composite Housing Estate)",22.487833,88.348694,2,Café,Dumpling Restaurant,Hotel,Lounge,Movie Theater,Sports Club,Mughlai Restaurant,Metro Station,Golf Course,Tex-Mex Restaurant
98,10,700 040,"Ranikuthi, Netaji Nagar (Gandhi Colony-Pallisree-Sangati Colony-Shahid Nagar Colony), Bansdroni (Regent Grove)",22.481833,88.359694,0,Café,Dumpling Restaurant,Metro Station,Chinese Restaurant,Mughlai Restaurant,Golf Course,Electronics Store,Field,Fast Food Restaurant,Falafel Restaurant
99,10,"700 092, 700 047, 700 086","Jadavpur (Sree Colony), Baghajatin, Garia (Vidyasagar Colony/ Ganguly Bagan)",22.481833,88.371694,0,Café,Department Store,Metro Station,Chinese Restaurant,Plaza,Shopping Mall,Multiplex,Dumpling Restaurant,Yoga Studio,Falafel Restaurant
100,10,700 047,Garia (Ramgarh-Naktala-Laxmi Narayan Colony),22.473833,88.371694,0,Metro Station,Café,Plaza,Dumpling Restaurant,Yoga Studio,Electronics Store,Flea Market,Field,Fast Food Restaurant,Falafel Restaurant
101,11,"700 084, 700 094, 700 086","Baghajatin (Ajanta Park), Garia (Phool Bagan-Green Park-Rabindra Pally-Raipur-Baishnabghata Patuli-Kusum Kanan-Birnagar)",22.476833,88.381694,0,Metro Station,Café,Plaza,Shopping Mall,Multiplex,Electronics Store,Flea Market,Field,Fast Food Restaurant,Falafel Restaurant
102,11,"700 032, 700 092","Jadavpur (KPC Medical College and Hospital-Ramakrishna Pally-Central Park-Kamarpara), Baghajatin (Chittaranjan Colony-Kajipara-West Rajapur)",22.486833,88.376694,2,Café,Shopping Mall,Chinese Restaurant,Dumpling Restaurant,Bakery,Bus Station,Multiplex,Pizza Place,Department Store,Park
103,12,700 075,Santoshpur (Santoshpur Lake-Bidhan Colony-Modern Park-East Rajapur-Rani Rashmoni Bagan-Adipally),22.491833,88.383694,2,Pizza Place,Chinese Restaurant,Café,Grocery Store,Shopping Mall,Multiplex,Yoga Studio,Dumpling Restaurant,Field,Fast Food Restaurant
104,12,"700 075, 700 099","Garfa (Bhattacharjee Para-Sen Para), Haltu (Sholak Pally-Patwari Para-Kalikapur), Santoshpur (Naskar Para-Bagan Bari-Mondal Para-Eastern Park-New Santoshpur)",22.498833,88.383694,2,Bus Station,Pizza Place,Department Store,Grocery Store,Shopping Mall,Bistro,Fried Chicken Joint,Café,Chinese Restaurant,Bakery
105,12,700 078,"Haltu (Baidya Para-Jadavgarh-Ashutosh Colony-Sarat Bose Colony-Nazir Bagan-Sucheta Nagar-Neli Nagar), Garfa (Manasatala)",22.506833,88.387694,2,Hotel,Gastropub,Restaurant,Sandwich Place,Shopping Mall,Bus Station,Mughlai Restaurant,Fried Chicken Joint,Café,Bakery
106,12,700 078,Haltu (Nandi Bagan-Kayasthapara-Ramlal Bazar-Shanti Pally-Purbachal-North Purbachal-Unique Park-Safuipara-Sukhpally-Gitanjali Park-Kalitala-Kalikapur),22.508833,88.387694,2,Hotel,Awadhi Restaurant,Sandwich Place,Shopping Mall,Bus Station,Mughlai Restaurant,Fried Chicken Joint,Gastropub,Café,Pizza Place
107,12,700 046,"Tiljala (Panchanna Gram), Kasba (Purbapara-Rajdanga-Prantik Pally-Sarada Pally-Tagore Park-Amarabati-VIP Bazar-Purbasree Pally-Rabindra Pally), Haltu (Sucheta Nagar-Kabardanga-Baishali Pally), East Calcutta Township (Ruby)",22.514833,88.397694,2,Shopping Mall,Café,Restaurant,Fried Chicken Joint,Gastropub,Awadhi Restaurant,Multiplex,Chinese Restaurant,Hotel,Indian Sweet Shop
108,12,700 100,"VIP Nagar, jagorani colony (Gouranga Pally-Matongini Colony), Uttar Panchanna Gram (Martin Para-Gulshan Colony), Paschim Chowbaga, Sardarhat, Chowbaga, Bantala, Adarsha Nagar, Nonadanga, Mundapara, East Calcutta Township (Ruby-Anandapur-Nazirabad-Urbana-Hussainpur-Madurdaha)",22.522133,88.409694,2,Bus Station,Hotel,Fried Chicken Joint,Dhaba,Coffee Shop,Chinese Restaurant,Café,Multiplex,Mughlai Restaurant,Sandwich Place
109,12,"700 094, 700 099","Haltu (Kalikapur), Santoshpur (Borakhola-Nandan Kanan-Purba Diganta-Survey Park), Ajoy Nagar, Hiland Park, Chak Garia, New Garia, Srinagar, Hatibari, Nayabad, Bikash Guha Colony/ Daspara, Panchasayar (Shahid Smrity Colony-Baghajatin Park), Budher Hat, Mukundapur (Singh Bari-Nitai Nagar-Purbalok-Stadium Nagar-Jamuna Nagar-Ahalya Nagar-Green Park-Chit Kalikapur-Satyajit Kanan-Vivekananda Park)",22.481833,88.400694,0,Metro Station,Multiplex,Grocery Store,Shopping Mall,Dessert Shop,Dhaba,Diner,Donut Shop,Dumpling Restaurant,Food & Drink Shop
110,11,"700 094, 700 084",Garia (Baishnabghata Patuli Township-Kanungo Park-Sreerampur-Pranab Nagar-Briji-Dhalai Bridge),22.473833,88.382694,0,Metro Station,Café,Plaza,Shopping Mall,Multiplex,Electronics Store,Flea Market,Field,Fast Food Restaurant,Falafel Restaurant
111,11,"700 084, 700 096, 700 154",Garia–Brahmapur–Kamdahari-Boral,22.462833,88.370694,0,Metro Station,Café,Plaza,Bus Station,Yoga Studio,Dumpling Restaurant,Field,Fast Food Restaurant,Falafel Restaurant,Electronics Store
112,11,700 047,Bansdroni (Rania-Roy Nagar),22.467833,88.365694,0,Department Store,Metro Station,Café,Plaza,Yoga Studio,Electronics Store,Flea Market,Field,Fast Food Restaurant,Falafel Restaurant
113,11,700070,Bansdroni (Jaysree Park-Kalitala),22.472833,88.354694,0,Café,Metro Station,Dumpling Restaurant,Mughlai Restaurant,Electronics Store,Flea Market,Field,Fast Food Restaurant,Falafel Restaurant,Yoga Studio
114,11,700093,"Bansdroni, Paschim Putiary, Kudghat, Haridevpur(partly), Rajpur Sonarpur(partly), Ramkantapur(under Behala Purba (Vidhan Sabha constituency), pincode-7000104)(partly)",22.476833,88.348806,0,Café,Dumpling Restaurant,Golf Course,Metro Station,Mughlai Restaurant,Field,Fast Food Restaurant,Falafel Restaurant,Electronics Store,Yoga Studio
115,13,700 041,Paschim Putiary-Kudghat-Karunamoyee,22.481833,88.341806,2,Hotel,Café,Mughlai Restaurant,Sports Club,Golf Course,Business Service,Metro Station,ATM,Donut Shop,Diner
116,13,700 034,Tollygunge Circular Road (Sirity-Senhati Colony),22.496833,88.336806,2,Golf Course,Asian Restaurant,Lounge,Movie Theater,Sports Club,Mughlai Restaurant,Restaurant,ATM,Tram Station,Diner
117,13,700 034,Tollygunge Circular Road (Chandubabur Jheel-Buroshibtala),22.501833,88.337806,2,Movie Theater,Café,Lounge,Golf Course,Restaurant,Plaza,Dhaba,Pizza Place,Sports Club,Frozen Yogurt Shop
118,13,"700 038, 700 053",Tollygunge Circular Road (Sahapur)-New Alipore,22.506833,88.331806,2,Café,Mughlai Restaurant,Movie Theater,Lounge,Sports Club,Dhaba,Park,Clothing Store,Chinese Restaurant,Pizza Place
